,SiteName,PrimaryUse,Borough,AreaHa,Easting,Northing
0,Alice Owen Playing Field,Playing fields,Barnet,3.7296,526771.0,194329.0
1,Arkley South Fields,Playing fields,Barnet,94.2257,522575.0,195230.0
2,Arrandene Open Space,Amenity green space,Barnet,24.5138,522633.0,191981.0
3,Avenue House Grounds,Park,Barnet,4.0571,525213.0,190275.0
4,Avondale Ave Park,Park,Barnet,1.3011,527794.0,194477.0
5,Barnet Playing Fields,Playing fields,Barnet,14.107,525220.0,195380.0
6,Basing Hill Park,Park,Barnet,2.6399,524428.0,187026.0
7,Big Wood,Public woodland,Barnet,7.2606,525570.0,188738.0
8,Bittacy Hill Park,Park,Barnet,2.6715,523708.0,191715.0
9,Bounds Green Brook (Barnet),River,Barnet,1.6966,528448.0,191589.0
10,Brent Green,Amenity green space,Barnet,0.2185,523556.0,188741.0
11,Brunswick Park East,Park,Barnet,4.0041,528642.0,193884.0
12,Brunswick Park Rd Recreation Ground,Recreation ground,Barnet,5.7784,528395.0,193003.0
13,Brunswick Park Rough & Adjacent Waste Ground,Park,Barnet,8.7642,528404.0,193763.0
14,Manor Drive Recreation Ground,Recreation ground,Barnet,8.419,528007.0,192816.0
15,Marlborough Avenue Green,Amenity green space,Barnet,0.4014,529061.0,193430.0
16,New Southgate Cemetery,Cemetery/churchyard,Barnet,20.8803,528603.0,193321.0
17,Playing Field by Library on Osidge Lane,Playing fields,Barnet,0.3197,528330.0,194014.0
18,Pymme's Brook at Brunswick Park,Park,Barnet,9.9835,528655.0,193714.0
19,Arnos Park,Park,Enfield,16.6062,529471.0,192762.0
20,Broomfield Park,Park,Enfield,21.4269,530384.0,192760.0
21,Christ Church at Southgate,Cemetery/churchyard,Enfield,0.2961,529668.0,193411.0
22,Conway Road Recreation Ground,Recreation ground,Enfield,0.9212,530313.0,193283.0
23,Grovelands Park,Park,Enfield,37.0188,530658.0,194383.0
24,High Road Open Space,Park,Enfield,0.5498,528954.0,192180.0
25,New River  (Enfield) - South section,River,Enfield,7.268,531274.0,192771.0
26,New Southgate Millenium Green,Park,Enfield,0.582,528927.0,192058.0
27,Pymmes Brook,River,Enfield,4.7752,531454.0,192393.0
28,Southgate Cemetery,Cemetery/churchyard,Enfield,5.4636,529390.0,193518.0
29,Grove Road Open Space,Amenity green space,Enfield,0.2209,528842.0,192380.0
30,Highview Gardens,Amenity green space,Enfield,0.0934,529314.0,192263.0
31,Pruden Close Amenity Space,Amenity green space,Enfield,0.0484,529431.0,193735.0
32,Burnt Oak Brook,Park,Barnet,14.1353,520611.0,191318.0
